862,11.00,4.40,1.96,0.00,2255.13,2.93,23.46,1189.74
868,11.00,4.89,1.96,0.00,2228.74,0.00,0.00,1189.74
872,11.00,5.38,1.96,0.00,2231.67,0.00,0.00,1224.93
876,9.00,3.42,1.96,0.00,2231.67,20.53,0.00,1207.33
881,10.00,5.38,2.93,0.00,2205.28,2.93,0.00,1230.79
885,11.00,5.38,1.96,0.00,2234.60,0.00,0.00,1195.60
890,10.00,5.38,1.96,0.00,2246.33,0.00,0.00,1189.74
894,13.00,3.42,0.98,0.00,2234.60,0.00,0.00,1183.87
899,10.00,4.89,1.96,0.00,2255.13,0.00,0.00,1180.94
903,11.00,4.89,1.47,0.00,2231.67,0.00,14.66,1219.06
909,9.00,4.89,1.96,0.00,2228.74,14.66,0.00,1219.06
913,10.00,4.89,1.96,0.00,2234.60,11.73,14.66,1230.79
918,11.00,5.38,1.47,0.00,2234.60,0.00,0.00,1180.94
922,13.00,4.89,1.47,0.00,2249.27,0.00,0.00,1230.79
927,11.00,4.89,1.96,0.00,2255.13,0.00,11.73,1195.60
931,10.00,6.35,2.44,0.00,2234.60,0.00,0.00,1268.91
936,11.00,4.89,1.96,0.00,2231.67,0.00,0.00,1219.06
940,9.00,4.89,1.96,0.00,2228.74,0.00,0.00,1195.60
944,11.00,4.89,1.96,0.00,2208.21,2.93,0.00,1210.26
950,10.00,5.38,1.96,0.00,2243.40,0.00,0.00,1242.52
954,11.00,4.89,1.96,0.00,2255.13,0.00,0.00,1148.68
959,10.00,4.40,0.98,0.00,2228.74,20.53,0.00,1216.13
963,13.00,4.40,1.96,0.00,2225.81,0.00,0.00,1189.74
968,13.00,4.89,1.47,0.00,2252.20,0.00,0.00,1192.67
972,11.00,4.89,1.47,0.00,2252.20,0.00,0.00,1216.13
977,13.00,3.42,1.47,0.00,2255.13,0.00,0.00,1107.62
981,9.00,5.38,1.96,0.00,2243.40,0.00,0.00,1242.52
986,11.00,4.89,1.96,0.00,2255.13,0.00,0.00,1163.34
990,12.00,4.89,1.47,0.00,2234.60,0.00,14.66,1224.93
996,13.00,4.89,2.44,0.00,2228.74,0.00,0.00,1204.40
1000,11.00,4.40,1.96,0.00,2249.27,20.53,0.00,1227.86
1005,11.00,4.89,0.49,0.00,2249.27,0.00,0.00,1219.06
1009,10.00,5.38,2.44,0.00,2225.81,0.00,17.60,1195.60
1014,9.00,5.38,1.96,0.00,2234.60,0.00,0.00,1242.52
1018,10.00,4.89,1.47,0.00,2234.60,0.00,0.00,1145.75
1023,10.00,5.38,1.47,0.00,2231.67,0.00,0.00,1207.33
1027,10.00,4.89,1.47,0.00,2234.60,0.00,0.00,1195.60
1032,10.00,6.35,2.44,0.00,2231.67,0.00,0.00,1251.32
1037,11.00,4.40,1.96,0.00,2252.20,0.00,0.00,1125.22
1042,9.00,4.89,2.44,0.00,2231.67,0.00,0.00,1172.14
1046,11.00,4.89,1.96,0.00,2234.60,0.00,0.00,1251.32
1051,11.00,4.89,1.96,0.00,2231.67,0.00,0.00,1192.67
1055,11.00,4.89,1.96,0.00,2237.54,17.60,11.73,1221.99
1060,10.00,5.38,1.96,0.00,2214.08,2.93,0.00,1210.26
1064,13.00,4.89,1.96,0.00,2231.67,0.00,0.00,1186.80
1069,10.00,5.38,1.96,0.00,2225.81,0.00,0.00,1236.66
1073,9.00,5.38,1.96,0.00,2231.67,0.00,0.00,1192.67
1079,12.00,4.89,1.96,0.00,2231.67,14.66,0.00,1169.21
1083,9.00,4.89,1.47,0.00,2228.74,0.00,0.00,1192.67
1088,10.00,5.38,1.96,0.00,2225.81,0.00,0.00,1245.45
1092,11.00,4.40,1.47,0.00,2234.60,20.53,0.00,1198.53
1097,14.00,4.89,1.96,0.00,2228.74,20.53,0.00,1239.59
1102,11.00,4.89,0.49,0.00,2252.20,0.00,0.00,1216.13
1106,10.00,5.38,2.44,0.00,2228.74,2.93,0.00,1201.47
1111,11.00,2.93,1.47,0.00,2252.20,0.00,14.66,1204.40
1115,14.00,4.89,1.47,0.00,2234.60,0.00,0.00,1195.60
1121,10.00,4.89,2.44,0.00,2225.81,0.00,0.00,1186.80
1125,11.00,5.38,2.44,0.00,2208.21,0.00,0.00,1210.26
1130,10.00,4.40,0.98,0.00,2252.20,0.00,0.00,1183.87
1134,11.00,5.38,1.96,0.00,2231.67,0.00,0.00,1207.33
1139,11.00,3.42,1.96,0.00,2231.67,0.00,0.00,1180.94
1143,9.00,3.42,1.47,0.00,2252.20,0.00,0.00,1183.87
1148,10.00,5.38,2.44,0.00,2225.81,0.00,0.00,1201.47
1152,12.00,4.89,1.47,0.00,2234.60,0.00,0.00,1201.47
